0 1 3647
0 1 3648
0 1 3654
0 1 3663
0 1 3671
0 1 3676
0 1 3677
0 1 3681
0 1 3684
0 1 3685
0 1 3686
0 1 3688
0 1 3689
0 1 3698
0 1 3699
0 1 3700
0 1 3702
0 1 3717
0 1 3721
0 1 3726
0 1 3733
0 1 3736
0 1 3739
0 1 3740
0 1 3743
0 1 3754
0 1 3763
0 1 3764
0 1 3767
0 1 3771
0 1 3773
0 1 3781
0 1 3792
0 1 3794
0 1 3795
0 1 3801
0 1 3802
0 1 3809
0 1 3841
0 1 3843
0 1 3847
0 1 3849
0 1 3858
0 1 3863
0 1 3865
0 1 3868
0 1 3880
0 1 3883
0 1 3910
0 1 3916
0 1 3919
0 1 3923
0 1 3930
0 1 3932
0 1 3934
0 1 3935
0 1 3938
0 1 3944
0 1 3945
0 1 3946
0 1 3951
0 1 3958
0 1 3960
0 1 3963
0 1 3964
0 1 3968
0 1 3971
0 1 3973
0 1 3975
0 1 3976
0 1 3978
0 1 3980
0 1 3983
0 1 3985
0 1 3986
0 1 3988
0 1 3989
0 1 3996
0 1 4003
0 1 4007
0 1 4009
0 1 4010
0 1 4013
0 1 4017
0 1 4022
0 1 4026
0 1 4028
0 1 4029
0 1 4032
0 1 4042
0 1 4048
0 1 4049
0 1 4050
0 1 4051
0 1 4056
0 1 4059
0 1 4061
0 1 4064
0 1 4066
0 1 4072
0 1 4078
0 1 4081
0 1 4089
0 1 4097
0 1 4105
0 1 4109
0 1 4116
0 1 4132
0 1 4138
0 1 4159
0 1 4192
0 1 4193
0 1 4194
0 1 4203
0 1 4205
0 1 4220
0 1 4230
0 1 4231
0 1 4238
0 1 4239
0 1 4255
0 1 4257
0 1 4264
0 1 4266
0 1 4273
0 1 4274
0 1 4287
0 1 4290
0 1 4291
0 1 4293
0 1 4294
0 1 4298
0 1 4301
0 1 4305
0 1 4319
0 1 4346
0 1 4355
0 1 4356
0 1 4358
0 1 4359
0 1 4370
0 1 4373
0 1 4376
0 1 4378
0 1 4387
0 1 4393
0 1 4395
0 1 4396
0 1 4398
0 1 4400
0 1 4402
0 1 4410
0 1 4411
0 1 4413
0 1 4417
0 1 4424
0 1 4433
0 1 4439
0 1 4447
0 1 4450
0 1 4451
0 1 4455
0 1 4457
0 1 4458
0 1 4462
0 1 4478
0 1 4479
0 1 4483
0 1 4485
0 1 4492
0 1 4493
0 1 4495
0 1 4511
